,S,mu,v,s
1,1,1.0,0.0,0.0
2,2,1.5,0.25,0.5
3,7,3.3333333333333335,6.888888888888888,2.6246692913372702
4,3,3.25,5.1875,2.277608394786075
5,6,3.8,5.36,2.3151673805580453
6,3,3.6666666666666665,4.555555555555555,2.1343747458109497
7,5,3.857142857142857,4.122448979591836,2.030381486221699
8,3,3.75,3.6875,1.920286436967152
9,8,4.222222222222222,5.061728395061729,2.249828525701843
10,8,4.6,5.84,2.4166091947189146
11,5,4.636363636363637,5.322314049586778,2.3070140982635494
12,8,4.916666666666667,5.743055555555556,2.3964673074247345
13,5,4.923076923076923,5.301775147928994,2.3025583918608867
14,8,5.142857142857143,5.5510204081632635,2.3560603574958057
15,7,5.266666666666667,5.395555555555556,2.322833518691246
16,4,5.1875,5.15234375,2.2698774746668597
17,5,5.176470588235294,4.85121107266436,2.2025464972763595
18,4,5.111111111111111,4.65432098765432,2.1573875376608442
19,10,5.368421052631579,5.6011080332409975,2.366666016412328
20,4,5.3,5.41,2.3259406699226015
21,10,5.523809523809524,6.154195011337867,2.4807650052630676
22,4,5.454545454545454,5.975206611570247,2.444423574499773
23,10,5.6521739130434785,6.574669187145557,2.564111773528127
24,4,5.583333333333333,6.409722222222222,2.5317429218272185
25,12,5.84,7.734400000000001,2.7810789273229917
26,7,5.884615384615385,7.486686390532545,2.736180986435756
27,7,5.925925925925926,7.253772290809327,2.693282809288569
28,7,5.964285714285714,7.034438775510203,2.652251642569046
29,10,6.103448275862069,7.334126040428064,2.7081591608374986
30,7,6.133333333333334,7.115555555555555,2.6674998698323407
31,7,6.161290322580645,6.909469302809574,2.6285869403178532
32,7,6.1875,6.71484375,2.591301555203485
33,9,6.2727272727272725,6.743801652892563,2.596883064924673
34,7,6.294117647058823,6.560553633217993,2.5613577714208517
35,9,6.371428571428571,6.576326530612246,2.5644349339790717
36,4,6.305555555555555,6.545524691358023,2.558422305124395
37,18,6.621621621621622,9.964937910883856,3.1567289891411106
38,4,6.552631578947368,9.878808864265928,3.1430572480096393
39,15,6.769230769230769,11.408284023668637,3.3776151384769455
40,4,6.7,11.31,3.3630343441600474
41,6,6.682926829268292,11.045806067816775,3.3235231408577217
42,4,6.619047619047619,10.950113378684808,3.3090955529698456
43,7,6.627906976744186,10.698756084369931,3.2708953031807564
44,4,6.568181818181818,10.608987603305785,3.2571440869734003
45,7,6.5777777777777775,10.377283950617285,3.2213792000659103
46,4,6.521739130434782,10.293005671077506,3.2082714459779593
47,7,6.531914893617022,10.078768673607966,3.174707651675657
48,4,6.479166666666667,9.99956597222222,3.1622090336064472
49,12,6.591836734693878,10.404831320283217,3.225652076756453
50,6,6.58,10.2036,3.194307436675437
51,12,6.686274509803922,10.568242983467897,3.2508834158529734
52,6,6.673076923076923,10.37389053254438,3.2208524543270185
53,12,6.773584905660377,10.70345318618725,3.2716132390897386
54,6,6.7592592592592595,10.516117969821673,3.242856452238007
55,12,6.8545454545454545,10.81520661157024,3.2886481434732784
56,6,6.839285714285714,10.634885204081632,3.261117171167211
57,6,6.824561403508772,10.460449369036628,3.2342617966139704
58,6,6.810344827586207,10.291617122473248,3.2080550373198475
59,12,6.898305084745763,10.56592933065211,3.25052754651489
60,6,6.883333333333334,10.403055555555557,3.2253768083055903
61,12,6.967213114754099,10.654662725073905,3.26414808565327
62,6,6.951612903225806,10.497658688865767,3.240009056911071
63,6,6.936507936507937,10.345175107079868,3.2163916283748577
64,4,6.890625,10.316162109375,3.211878283711106
65,6,6.876923076923077,10.169467455621302,3.188960246792252
66,4,6.833333333333333,10.13888888888889,3.1841621957571333
67,12,6.91044776119403,10.380040098017377,3.2218069616315277
68,4,6.867647058823529,10.350129757785467,3.2171617549923517
69,15,6.9855072463768115,11.1447174963243,3.3383704851805023
70,4,6.942857142857143,11.111020408163263,3.33331972786339
71,6,6.929577464788732,10.966871652449909,3.3116267380926114
72,4,6.888888888888889,10.9320987654321,3.3063724480814467
73,9,6.917808219178082,10.842559579658472,3.2928042121660486
74,4,6.878378378378378,10.80953250547845,3.2877853496660103
75,9,6.906666666666666,10.724622222222221,3.2748469005775247
76,4,6.868421052631579,10.693213296398891,3.2700479042972583
77,20,7.038961038961039,12.764715803676841,3.5727742447119217
78,4,7.0,12.717948717948717,3.5662233129669145
79,9,7.025316455696203,12.606954013779841,3.550627270466423
80,4,6.9875,12.56234375,3.5443396775704215
81,11,7.037037037037037,12.603566529492456,3.550150212243484
82,9,7.060975609756097,12.49628197501487,3.535008058691645
83,9,7.0843373493975905,12.390477572942372,3.520011018866613
84,9,7.107142857142857,12.286139455782312,3.5051589772480094
85,12,7.1647058823529415,12.419930795847755,3.5241922189131163
86,9,7.186046511627907,12.314223904813407,3.5091628495715907
87,11,7.2298850574712645,12.33795745805258,3.5125428763294235
88,9,7.25,12.232954545454545,3.497564087397763
89,12,7.303370786516854,12.346168413079155,3.5137114868866446
90,9,7.322222222222222,12.240617283950614,3.4986593552317458
91,12,7.373626373626373,12.343919816447286,3.5133914977479077
92,9,7.391304347826087,12.23818525519849,3.4983117721550334
93,12,7.440860215053763,12.332523991212856,3.511769353362042
94,9,7.457446808510638,12.226912630149382,3.4967002488273686
95,9,7.473684210526316,12.122991689750691,3.4818086808081072
96,9,7.489583333333333,12.020724826388891,3.467091695699566
97,12,7.536082474226804,12.104368158146453,3.479133248116038
98,9,7.551020408163265,12.00249895876718,3.4644622899906388
99,12,7.595959595959596,12.079175594327111,3.4755108393338543
100,9,7.61,11.9779,3.46091028488171
101,9,7.623762376237623,11.878247230663657,3.4464833135623416
102,9,7.637254901960785,11.780180699730877,3.4322267844259473
103,17,7.728155339805825,12.508624752568574,3.5367534198143606
104,9,7.740384615384615,12.403753698224854,3.5218963213338426
105,17,7.828571428571428,13.09442176870748,3.618621528801745
106,9,7.839622641509434,12.983713065147736,3.603291976116803
107,11,7.869158878504673,12.954843217748273,3.5992837089827017
108,9,7.87962962962963,12.846622085048013,3.5842184761880813
109,17,7.963302752293578,13.484891844120867,3.6721780790316894
110,9,7.972727272727273,13.371983471074381,3.6567722749816376
111,17,8.054054054054054,13.979060141222304,3.7388581333372763
112,9,8.0625,13.862165178571429,3.723192874210444
113,17,8.141592920353983,14.440128436056073,3.8000168994434844
114,9,8.149122807017545,14.319867651585104,3.7841600985668014
115,20,8.252173913043478,15.405973534971638,3.9250443991083257
116,9,8.258620689655173,15.277942925089182,3.9087009255108254
117,12,8.290598290598291,15.2659799839287,3.90717032952605
118,9,8.296610169491526,15.140835966676242,3.8911227128781536
119,6,8.277310924369749,15.057552432737797,3.8804062200674037
120,9,8.283333333333333,14.93638888888889,3.8647624621558427
121,12,8.314049586776859,14.926166245475034,3.8634396909328137
122,6,8.295081967213115,14.847352862133835,3.8532262926194507
123,6,8.276422764227643,14.769118910701305,3.8430611380384394
124,6,8.258064516129032,14.691467221644116,3.832944980252667
125,11,8.28,14.633600000000003,3.8253888691216744
126,6,8.261904761904763,14.558390022675738,3.8155458354835337
127,11,8.283464566929133,14.502325004650006,3.8081918287620447
128,6,8.265625,14.429443359375,3.798610714376376
129,17,8.333333333333334,14.90439276485788,3.860620774546223
130,6,8.315384615384616,14.831301775147928,3.8511429180371803
131,11,8.335877862595419,14.77268224462444,3.8435247162759913
132,6,8.318181818181818,14.701790633608818,3.8342914121919343
133,11,8.338345864661655,14.644920572106958,3.8268682459822103
134,6,8.32089552238806,14.576130541323234,3.8178698958088177
135,17,8.385185185185184,15.022002743484226,3.8758228472782688
136,6,8.367647058823529,14.953070934256054,3.8669200837690005
137,11,8.386861313868613,14.894133944269809,3.85929189674347
138,6,8.369565217391305,14.82718966603655,3.8506089993709502
139,6,8.352517985611511,14.760623156151334,3.8419556421373913
140,6,8.335714285714285,14.694438775510207,3.8333325939070573
141,6,8.319148936170214,14.62864041044213,3.8247405677303306
142,6,8.30281690140845,14.563231501686172,3.8161802239525024
143,8,8.3006993006993,14.462027483006505,3.8028972485470214
144,9,8.305555555555555,14.36496913580247,3.7901146599809445
145,8,8.303448275862069,14.26653983353151,3.7771073367765853
146,9,8.308219178082192,14.17212422593357,3.7645881880935623
147,6,8.29251700680272,14.111712712295805,3.7565559642171986
148,9,8.297297297297296,14.01972242512783,3.7442919791501077
149,6,8.281879194630873,13.96081257601009,3.7364170773630305
150,9,8.286666666666667,13.871155555555555,3.7244000262532966
151,8,8.28476821192053,13.779834217797465,3.71211990886575
152,9,8.289473684210526,13.692520775623267,3.700340629674958
153,9,8.294117647058824,13.606305267204922,3.6886725616683465
154,9,8.2987012987013,13.521167144543766,3.677113969479837
155,9,8.303225806451612,13.437086368366284,3.6656631553330543
156,9,8.307692307692308,13.354043392504932,3.65431845800348
157,11,8.32484076433121,13.314860643433809,3.6489533627375685
158,9,8.329113924050633,13.23345617689473,3.6377817659797476
159,6,8.314465408805031,13.18413037458961,3.630995782783231
160,9,8.31875,13.1046484375,3.620034314409188
161,9,8.322981366459627,13.026117819528569,3.6091713480421745
162,9,8.32716049382716,12.948521566834325,3.5984054200206965
163,44,8.54601226993865,20.628250969174605,4.541833436969546
164,9,8.548780487804878,20.50371802498513,4.52810313762674
165,28,8.666666666666666,22.658585858585862,4.760103555447703
166,9,8.668674698795181,22.522753665263465,4.745814331098876
167,6,8.652694610778443,22.430277170210477,4.736061356254845
168,9,8.654761904761905,22.297477324263042,4.722020470546802
169,9,8.65680473372781,22.166240677847416,4.708103724202284
170,6,8.641176470588235,22.07712802768166,4.698630441701248
171,9,8.64327485380117,21.948770561882288,4.684951500483467
172,6,8.627906976744185,21.861546782044346,4.675633302777747
173,25,8.722543352601155,23.27561896488356,4.824481211994049
174,6,8.706896551724139,23.184205311137532,4.814997955465561
175,25,8.8,24.560000000000006,4.955804677345547
176,6,8.784090909090908,24.464746900826455,4.946185085581256
177,6,8.768361581920903,24.370072456829135,4.936605357614596
178,6,8.752808988764045,24.27597525564954,4.9270655826414105
179,6,8.737430167597765,24.18245373115695,4.917565833942333
180,6,8.722222222222221,24.089506172839503,4.908106169678841
181,8,8.718232044198896,23.959280852232833,4.894821840703994
182,6,8.703296703296703,23.868011109769352,4.88548985361441
183,14,8.73224043715847,23.890053450386702,4.887745231738935
184,6,8.717391304347826,23.800567107750474,4.878582489591672
185,8,8.713513513513513,23.674682249817383,4.865663598094034
186,6,8.698924731182796,23.586773037345353,4.8566215662068375
187,14,8.727272727272727,23.610111813320366,4.859023751055387
188,6,8.712765957446809,23.523879583521957,4.850142223020058
189,8,8.708994708994709,23.402088407379413,4.837570506708859
190,6,8.694736842105263,23.317340720221612,4.828803238921794
191,14,8.722513089005236,23.34184918176585,4.831340309041152
192,6,8.708333333333334,23.258680555555554,4.8227254281739445
193,25,8.792746113989637,24.506268624661065,4.950380654521536
194,6,8.778350515463918,24.419943670953337,4.941653940833305
195,14,8.805128205128206,24.43381985535832,4.943057743478051
196,9,8.806122448979592,24.309350270720532,4.9304513252561915
197,14,8.83248730964467,24.322193305676517,4.931753573089041
198,9,8.833333333333334,24.199494949494948,4.919298217174371
199,14,8.859296482412061,24.211358299032852,4.920503866377188
200,9,8.86,24.0904,4.908197225051169
201,16,8.895522388059701,24.222915274374394,4.92167809536284
202,9,8.896039603960396,24.103053622193904,4.909486085344769
203,14,8.921182266009852,24.11201436579388,4.910398595408918
204,9,8.92156862745098,23.99384851980008,4.898351612512119
205,19,8.970731707317073,24.3698750743605,4.9365853658536585
206,9,8.970873786407767,24.2515788481478,4.9245892060300624
207,8,8.966183574879228,24.138953067749537,4.913140855679749
208,9,8.966346153846153,24.022905880177515,4.90131674962734
209,14,8.990430622009569,24.028616560976168,4.901899280990601
210,9,8.99047619047619,23.91419501133787,4.890214209146453
211,14,9.014218009478673,23.919229127827318,4.890728895351624
212,9,9.014150943396226,23.806403524385903,4.879180620184695
213,14,9.03755868544601,23.810795917917524,4.879630715322372
214,9,9.037383177570094,23.699537077474016,4.868217032700372
215,8,9.032558139534883,23.594288804759326,4.857395269561591
216,9,9.032407407407407,23.48506087105624,4.846138758956066
217,8,9.027649769585253,23.381723969504556,4.8354652278249874
218,9,9.027522935779816,23.27447184580423,4.824362325303131
219,8,9.02283105022831,23.172994724880635,4.813833682719069
220,9,9.022727272727273,23.067665289256205,4.802880936402255
221,14,9.04524886877828,23.074875616797364,4.803631503019082
222,9,9.045045045045045,22.97094391688987,4.792801259899044
223,8,9.040358744394618,22.872810633634295,4.782552731924061
224,9,9.040178571428571,22.77070711096939,4.771866208410436
225,17,9.075555555555555,22.949846913580245,4.790599849035635
226,8,9.070796460176991,22.853394940872423,4.780522454802657
227,8,9.066079295154186,22.75774806419686,4.770508155762535
228,8,9.06140350877193,22.66289627577716,4.760556298981996
229,16,9.091703056768559,22.773249938025593,4.772132640447622
230,8,9.08695652173913,22.679395085066165,4.762288849394392
231,14,9.108225108225108,22.685257022919362,4.762904263463561
232,8,9.10344827586207,22.59274673008323,4.7531827999860505
233,14,9.124463519313304,22.598242737939547,4.753760904582765
234,8,9.11965811965812,22.507049455767408,4.744159509941398
235,8,9.114893617021277,22.41658669081032,4.734615791255962
236,8,9.110169491525424,22.326845733984477,4.725129176433643
237,8,9.10548523206751,22.237818013494994,4.715699101246282
238,8,9.100840336134453,22.149495092154503,4.706325009192895
239,8,9.096234309623432,22.06186866476427,4.697006351365119
240,8,9.091666666666667,21.974930555555556,4.687742586315459
241,17,9.12448132780083,22.14218074757666,4.705547869013412
242,8,9.119834710743802,22.05588757598525,4.6963696166278535
243,14,9.139917695473251,22.062727565242426,4.697097781102968
244,8,9.135245901639344,21.977610185434028,4.688028389998724
245,14,9.155102040816326,21.984106622240738,4.688721213960235
246,8,9.15040650406504,21.90014211117721,4.679758766344395
247,14,9.17004048582996,21.906308905243492,4.680417599450234
248,8,9.165322580645162,21.823474895941725,4.671560220733724
249,8,9.160642570281125,21.74126223770584,4.662752645992048
250,8,9.156,21.659664,4.653994413404468
251,8,9.151394422310757,21.5786733543912,4.645285067075131
252,8,9.146825396825397,21.49828357268833,4.636624156936632
253,8,9.142292490118576,21.418488025121462,4.628011238655484
254,8,9.137795275590552,21.339280178560358,4.619445873539418
